doc_id,pdf_page,page_index,page_role,candidate_table_numbers,matched_table_numbers,visible_titles,warnings,image_path,review_decision,review_notes
1911_census_volume_ii_part_iv_education,3,2,boundary_multiple_tables,1 | 2 | 3,1 | 2,"Number of Persons Recorded in each State and Territory of the Commonwealth, at the Census of 3rd April, 1911, Classified according to Education and Sex | Number of Persons Recorded in the Commonwealth, at the Censuses of 1891, 1901, and 1911, Classified according to Education and Sex",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iv_education/p0003_role_boundary_multiple_tables_cand_1_2_3_match_1_2.png,,
1911_census_volume_ii_part_iv_education,5,4,boundary_multiple_tables,4 | 3 | 5,3 | 4,"3.—NUMBER OF MALES RECORDED IN EACH STATE AND TERRITORY OF THE COMMONWEALTH, 1911—continued. | 4.—NUMBER OF FEMALES RECORDED IN EACH STATE AND TERRITORY OF THE COMMONWEALTH at the Census of 3rd April, 1911, Classified according to Education and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iv_education/p0005_role_boundary_multiple_tables_cand_4_3_5_match_3_4.png,,
1911_census_volume_ii_part_iv_education,8,7,boundary_multiple_tables,6 | 5 | 7,5 | 6,5.--NUMBER OF PERSONS RECORDED IN EACH STATE AND TERRITORY OF COMMONWEALTH--cont. | 6.--NUMBER OF MALES RECORDED IN EACH METROPOLITAN AREA OF THE COMMONWEALTH,,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iv_education/p0008_role_boundary_multiple_tables_cand_6_5_7_match_5_6.png,,
1911_census_volume_ii_part_iv_education,9,8,boundary_multiple_tables,7 | 6 | 8,6 | 7,"6.—NUMBER OF MALES RECORDED IN EACH METROPOLITAN AREA—continued. | 7 —NUMBER OF FEMALES RECORDED IN EACH METROPOLITAN AREA OF THE COMMONWEALTH at the Census of 3rd April, 1911, Classified according to Education and Age (Exclusive of Full-blooded Aboriginals).",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iv_education/p0009_role_boundary_multiple_tables_cand_7_6_8_match_6_7.png,,
1911_census_volume_ii_part_iv_education,10,9,boundary_multiple_tables,8 | 7 | 9,7 | 8,"7.-NUMBER OF FEMALES RECORDED IN EACH METROPOLITAN AREA.-continued. | 8.-NUMBER OF PERSONS RECORDED IN EACH METROPOLITAN AREA OF THE COMMONWEALTH at the Census of 3rd April, 1911, Classified according to Education and Age (Exclusive of Full-blooded Aboriginals).",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iv_education/p0010_role_boundary_multiple_tables_cand_8_7_9_match_7_8.png,,
1911_census_volume_ii_part_iv_education,84,83,boundary_multiple_tables,14 | 13 | 15,13 | 14,"13.--VICTORIA.--NUMBER OF FEMALES RECORDED IN EACH COUNTY--continued. | 14.--VICTORIA.--NUMBER OF PERSONS RECORDED IN EACH COUNTY at the Census of 3rd April, 1911, Classified according to Education and Age (Exclusive of Full-blooded Aboriginals).",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iv_education/p0084_role_boundary_multiple_tables_cand_14_13_15_match_13_14.png,,
1911_census_volume_ii_part_iv_education,111,110,boundary_multiple_tables,17 | 16 | 18,16 | 17,"Queensland-Number of Females Recorded in each Census District, at the Census of 3rd April, 1911, Classified according to Education and Age | Queensland-Number of Persons Recorded in each Census District, at the Census of 3rd April, 1911, Classified according to Education and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iv_education/p0111_role_boundary_multiple_tables_cand_17_16_18_match_16_17.png,,
1911_census_volume_ii_part_iv_education,135,134,boundary_multiple_tables,20 | 19 | 21,19 | 20,"South Australia-Number of Females Recorded in each County or Division, at the Census of 3rd April, 1911, Classified according to Education and Age | South Australia-Number of Persons Recorded in each County or Division, at the Census of 3rd April, 1911, Classified according to Education and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iv_education/p0135_role_boundary_multiple_tables_cand_20_19_21_match_19_20.png,,
1911_census_volume_ii_part_iv_education,161,160,boundary_multiple_tables,25 | 24 | 26,24 | 25,"24.—TASMANIA.—NUMBER OF MALES RECORDED IN EACH MUNICIPALITY —continued. | 25.—TASMANIA.—NUMBER OF FEMALES RECORDED IN EACH MUNICIPALITY at the Census of 3rd April, 1911, Classified according to Education and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iv_education/p0161_role_boundary_multiple_tables_cand_25_24_26_match_24_25.png,,
1911_census_volume_ii_part_iv_education,168,167,boundary_multiple_tables,26 | 25 | 27,25 | 26,"25. TASMANIA. NUMBER OF FEMALES RECORDED IN EACH MUNICIPALITY—continued. | 26. TASMANIA. NUMBER OF PERSONS RECORDED IN EACH MUNICIPALITY at the Census of 3rd April, 1911, Classified according to Education and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iv_education/p0168_role_boundary_multiple_tables_cand_26_25_27_match_25_26.png,,
1911_census_volume_ii_part_iv_education,175,174,boundary_multiple_tables,27 | 26 | 28,26 | 27,"26.-TASMANIA.-NUMBER OF PERSONS RECORDED IN EACH MUNICIPALITY-continued. | 27.-NORTHERN TERRITORY.-NUMBER OF MALES RECORDED IN EACH COUNTY at the Census of 3rd April, 1911, Classified according to Education and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iv_education/p0175_role_boundary_multiple_tables_cand_27_26_28_match_26_27.png,,
1911_census_volume_ii_part_iv_education,176,175,boundary_multiple_tables,28 | 27 | 29,27 | 28,"27.—NORTHERN TERRITORY.—NUMBER OF MALES RECORDED IN EACH COUNTY—continued. | 28.—NORTHERN TERRITORY.—NUMBER OF FEMALES RECORDED IN EACH COUNTY at the Census of 3rd April, 1911, Classified according to Education and Age (Exclusive of Full-blooded Aboriginals).",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iv_education/p0176_role_boundary_multiple_tables_cand_28_27_29_match_27_28.png,,
1911_census_volume_ii_part_iv_education,177,176,boundary_multiple_tables,29 | 28 | 30,28 | 29,"28.—NORTHERN TERRITORY.—NUMBER OF FEMALES RECORDED IN EACH COUNTY—continued. | 29.—NORTHERN TERRITORY.—NUMBER OF PERSONS RECORDED IN EACH COUNTY at the Census of 3rd April, 1911, Classified according to Education and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iv_education/p0177_role_boundary_multiple_tables_cand_29_28_30_match_28_29.png,,
1911_census_volume_ii_part_iv_education,178,177,boundary_multiple_tables,30 | 29 | 31,29 | 30,29.-NORTHERN TERRITORY.-NUMBER OF PERSONS RECORDED IN EACH COUNTY-continued. | 30.-FEDERAL CAPITAL TERRITORY.-NUMBER OF PERSONS RECORDED IN EACH DIVISION,,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iv_education/p0178_role_boundary_multiple_tables_cand_30_29_31_match_29_30.png,,
1911_census_volume_ii_part_iv_education,182,181,non_table,33 | 32,,,The provided page image is blank.,output/diagnostics/flagged_pages/1911_census_volume_ii_part_iv_education/p0182_role_non_table_cand_33_32_match_unknown.png,,
1911_census_volume_ii_part_v_schooling,24,23,boundary_multiple_tables,10 | 9 | 11,9 | 10,9.-NEW SOUTH WALES.-NUMBER OF MALES RECORDED IN EACH COUNTY-continued. | 10.-NEW SOUTH WALES.-NUMBER OF FEMALES RECORDED IN EACH COUNTY,,output/diagnostics/flagged_pages/1911_census_volume_ii_part_v_schooling/p0024_role_boundary_multiple_tables_cand_10_9_11_match_9_10.png,,
1911_census_volume_ii_part_v_schooling,37,36,boundary_multiple_tables,11 | 10 | 12,10 | 11,10.-NEW SOUTH WALES.-NUMBER OF FEMALES RECORDED IN EACH COUNTY-continued. | 11.-NEW SOUTH WALES.-NUMBER OF PERSONS RECORDED IN EACH COUNTY,,output/diagnostics/flagged_pages/1911_census_volume_ii_part_v_schooling/p0037_role_boundary_multiple_tables_cand_11_10_12_match_10_11.png,,
1911_census_volume_ii_part_v_schooling,54,53,boundary_multiple_tables,13 | 12 | 14,12 | 13,"12.-VICTORIA.-NUMBER OF MALES RECORDED IN EACH COUNTY-continued. | 13.-VICTORIA-NUMBER OF FEMALES RECORDED IN EACH COUNTY At the Census of 3rd April, 1911, Classified according to Schooling and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_v_schooling/p0054_role_boundary_multiple_tables_cand_13_12_14_match_12_13.png,,
1911_census_volume_ii_part_v_schooling,58,57,boundary_multiple_tables,14 | 13 | 15,13 | 14,13.-VICTORIA.-NUMBER OF FEMALES RECORDED IN EACH COUNTY-continued. | 14.-VICTORIA.-NUMBER OF PERSONS RECORDED IN EACH COUNTY,,output/diagnostics/flagged_pages/1911_census_volume_ii_part_v_schooling/p0058_role_boundary_multiple_tables_cand_14_13_15_match_13_14.png,,
1911_census_volume_ii_part_v_schooling,62,61,boundary_multiple_tables,15 | 14 | 16,14 | 15,"14. VICTORIA.—NUMBER OF PERSONS RECORDED IN EACH COUNTY—continued. | 15.—QUEENSLAND—NUMBER OF MALES RECORDED IN EACH CENSUS DISTRICT At the Census of 3rd April, 1911, Classified according to Schooling and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_v_schooling/p0062_role_boundary_multiple_tables_cand_15_14_16_match_14_15.png,,
1911_census_volume_ii_part_v_schooling,75,74,boundary_multiple_tables,17 | 16 | 18,16 | 17,"Queensland-Number of Females Recorded in each Census District, at the Census of 3rd April, 1911, Classified according to Schooling and Age | Queensland-Number of Persons Recorded in each Census District, at the Census of 3rd April, 1911, Classified according to Schooling and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_v_schooling/p0075_role_boundary_multiple_tables_cand_17_16_18_match_16_17.png,,
1911_census_volume_ii_part_v_schooling,86,85,boundary_multiple_tables,19 | 18 | 20,18 | 19,"South Australia-Number of Males Recorded in each County or Division, at the Census of 3rd April, 1911, Classified according to Schooling and Age | South Australia-Number of Females Recorded in each County or Division, at the Census of 3rd April, 1911, Classified according to Schooling and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_v_schooling/p0086_role_boundary_multiple_tables_cand_19_18_20_match_18_19.png,,
1911_census_volume_ii_part_v_schooling,91,90,boundary_multiple_tables,20 | 19 | 21,19 | 20,"South Australia-Number of Females Recorded in each County or Division, at the Census of 3rd April, 1911, Classified according to Schooling and Age | South Australia-Number of Persons Recorded in each County or Division, at the Census of 3rd April, 1911, Classified according to Schooling and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_v_schooling/p0091_role_boundary_multiple_tables_cand_20_19_21_match_19_20.png,,
1911_census_volume_ii_part_v_schooling,98,97,boundary_multiple_tables,22 | 21 | 23,21 | 22,"21.—WESTERN AUSTRALIA.—NUMBER OF MALES RECORDED IN EACH STATISTICAL DISTRICT.—cont. | 22.—WESTERN AUSTRALIA.—NUMBER OF FEMALES RECORDED IN EACH STATISTICAL DISTRICT At the Census of 3rd April, 1911, Classified according to Schooling and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_v_schooling/p0098_role_boundary_multiple_tables_cand_22_21_23_match_21_22.png,,
1911_census_volume_ii_part_v_schooling,101,100,boundary_multiple_tables,23 | 22 | 24,22 | 23,"Western Australia-Number of Females Recorded in each Statistical District, at the Census of 3rd April, 1911, Classified according to Schooling and Age | Western Australia- Number of Persons Recorded in each Statistical District, at the Census of 3rd April, 1911, Classified according to Schooling and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_v_schooling/p0101_role_boundary_multiple_tables_cand_23_22_24_match_22_23.png,,
1911_census_volume_ii_part_v_schooling,104,103,boundary_multiple_tables,24 | 23 | 25,23 | 24,"Western Australia- Number of Persons Recorded in each Statistical District, at the Census of 3rd April, 1911, Classified according to Schooling and Age | Tasmania-Number of Males Recorded in each Municipality, at the Census of 3rd April, 1911, Classified according to Schooling and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_v_schooling/p0104_role_boundary_multiple_tables_cand_24_23_25_match_23_24.png,,
1911_census_volume_ii_part_v_schooling,109,108,boundary_multiple_tables,25 | 24 | 26,24 | 25,"24.-TASMANIA.-NUMBER OF MALES RECORDED IN EACH MUNICIPALITY-continued. | 25.-TASMANIA.-NUMBER OF FEMALES RECORDED IN EACH MUNICIPALITY At the Census of 3rd April, 1911, Classified according to Schooling and Age (Exclusive of Full-blooded Aboriginals).",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_v_schooling/p0109_role_boundary_multiple_tables_cand_25_24_26_match_24_25.png,,
1911_census_volume_ii_part_v_schooling,114,113,boundary_multiple_tables,26 | 25 | 27,25 | 26,25.-TASMANIA.-NUMBER OF FEMALES RECORDED IN EACH MUNICIPALITY-continued. | 26.-TASMANIA.-NUMBER OF PERSONS RECORDED IN EACH MUNICIPALITY,,output/diagnostics/flagged_pages/1911_census_volume_ii_part_v_schooling/p0114_role_boundary_multiple_tables_cand_26_25_27_match_25_26.png,,
1911_census_volume_ii_part_v_schooling,119,118,boundary_multiple_tables,27 | 26 | 28,26 | 27,"26. - TASMANIA. - NUMBER OF PERSONS RECORDED IN EACH MUNICIPALITY -- continued. | 27. - NORTHERN TERRITORY. - NUMBER OF MALES RECORDED IN EACH COUNTY At the Census of 3rd April, 1911, Classified according to Schooling and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_v_schooling/p0119_role_boundary_multiple_tables_cand_27_26_28_match_26_27.png,,
1911_census_volume_ii_part_v_schooling,120,119,boundary_multiple_tables,28 | 27 | 29 | 30,28 | 29,"Northern Territory-Number of Females Recorded in each County, at the Census of 3rd April, 1911, Classified according to Schooling and Age | Northern Territory-Number of Persons Recorded in each County, at the Census of 3rd April, 1911, Classified according to Schooling and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_v_schooling/p0120_role_boundary_multiple_tables_cand_28_27_29_30_match_28_29.png,,
1911_census_volume_ii_part_vi_religions,18,17,boundary_multiple_tables,3 | 2 | 4,2 | 3,"2.—FEMALE POPULATION OF THE STATES AND TERRITORIES OF THE COMMONWEALTH—continued | 3.—TOTAL POPULATION OF THE STATES AND TERRITORIES OF THE COMMONWEALTH At the Census of 3rd April, 1911, Classified according to Religion",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0018_role_boundary_multiple_tables_cand_3_2_4_match_2_3.png,,
1911_census_volume_ii_part_vi_religions,80,79,boundary_multiple_tables,32 | 31 | 33 | 34,32 | 33,"Male Population of the Metropolis of each State of the Commonwealth, at the Census of 3rd April, 1911, Classified according to Religion | Female Population of the Metropolis of each State of the Commonwealth, at the Census of 3rd April, 1911, Classified according to Religion",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0080_role_boundary_multiple_tables_cand_32_31_33_34_match_32_33.png,,
1911_census_volume_ii_part_vi_religions,81,80,boundary_multiple_tables,34 | 33 | 35,33 | 34,"33.—FEMALE POPULATION OF THE METROPOLIS OF EACH STATE—continued. | 34.—TOTAL POPULATION OF THE METROPOLIS OF EACH STATE OF THE COMMONWEALTH At the Census of 3rd April, 1911, Classified according to Religion",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0081_role_boundary_multiple_tables_cand_34_33_35_match_33_34.png,,
1911_census_volume_ii_part_vi_religions,94,93,boundary_multiple_tables,38 | 37 | 39 | 40,38 | 39,"38.—MALE POPULATION OF THE COUNTIES OF VICTORIA, AT THE CENSUS OF 3RD APRIL, 1911, (EXCLUSIVE OF FULL-BLOOD ABORIGINALS) | 39.—FEMALE POPULATION OF THE COUNTIES OF VICTORIA, AT THE CENSUS OF 3RD APRIL, 1911, (EXCLUSIVE OF FULL-BLOOD ABORIGINALS)",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0094_role_boundary_multiple_tables_cand_38_37_39_40_match_38_39.png,,
1911_census_volume_ii_part_vi_religions,96,95,boundary_multiple_tables,40 | 39 | 41,39 | 40,"Female Population of the Counties of Victoria, at the Census of 3rd April, 1911, Classified according to Religion | Total Population of the Counties of Victoria, at the Census of 3rd April, 1911, Classified according to Religion",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0096_role_boundary_multiple_tables_cand_40_39_41_match_39_40.png,,
1911_census_volume_ii_part_vi_religions,104,103,boundary_multiple_tables,44 | 43 | 45 | 46,44 | 45,"44. MALE POPULATION OF THE COUNTIES At the Census of 3rd April, 1911, (Exclusive of Full- | 45. FEMALE POPULATION OF THE COUNTIES At the Census of 3rd April, 1911, (Exclusive of Full-",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0104_role_boundary_multiple_tables_cand_44_43_45_46_match_44_45.png,,
1911_census_volume_ii_part_vi_religions,106,105,boundary_multiple_tables,46 | 45 | 47,45 | 46,"Female Population of the Counties and Division of South Australia, at the Census of 3rd April, 1911, Classified according to Religion | Total Population of the Counties and Divisions of South Australia, at the Census of 3rd April, 1911, Classified according to Religion",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0106_role_boundary_multiple_tables_cand_46_45_47_match_45_46.png,,
1911_census_volume_ii_part_vi_religions,108,107,boundary_multiple_tables,47 | 46 | 48 | 49,47 | 48,"Male Population of the Statistical Districts of Western Australia, at the Census of 3rd April, 1911, Classified according to Religion | Female Population of the Statistical Districts of Western Australia, at the Census of 3rd April, 1911, Classified according to Religion",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0108_role_boundary_multiple_tables_cand_47_46_48_49_match_47_48.png,,
1911_census_volume_ii_part_vi_religions,110,109,boundary_multiple_tables,49 | 48 | 50 | 51,49 | 50,"Total Population of the Statistical Districts of Western Australia, at the Census of 3rd April, 1911, Classified according to Religion | Male Population of the Municipalities of Tasmania, at the Census of 3rd April, 1911, Classified according to Religion",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0110_role_boundary_multiple_tables_cand_49_48_50_51_match_49_50.png,,
1911_census_volume_ii_part_vi_religions,111,110,boundary_multiple_tables,49 | 48 | 50 | 51,50 | 51,"Male Population of the Municipalities of Tasmania, at the Census of 3rd April, 1911, Classified according to Religion | Female Population of the Municipalities of Tasmania, at the Census of 3rd April, 1911, Classified according to Religion",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0111_role_boundary_multiple_tables_cand_49_48_50_51_match_50_51.png,,
1911_census_volume_ii_part_vi_religions,112,111,boundary_multiple_tables,51 | 50 | 52 | 53,51 | 52,"51.—FEMALE POPULATION OF THE At the Census of 3rd April, 1911, (Exclusive of Full- | 52.—TOTAL POPULATION OF THE At the Census of 3rd April, 1911, (Exclusive of Full-",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0112_role_boundary_multiple_tables_cand_51_50_52_53_match_51_52.png,,
1911_census_volume_ii_part_vi_religions,113,112,boundary_multiple_tables,51 | 50 | 52 | 53,51 | 52,"Female Population of the Municipalities of Tasmania, at the Census of 3rd April, 1911, Classified according to Religion | Total Population of the Municipalities of Tasmania, at the Census of 3rd April, 1911, Classified according to Religion",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0113_role_boundary_multiple_tables_cand_51_50_52_53_match_51_52.png,,
1911_census_volume_ii_part_vi_religions,114,113,boundary_multiple_tables,53 | 52 | 54,52 | 53,"52.—TOTAL POPULATION OF THE | 53.—POPULATION OF THE COUNTIES At the Census of 3rd April, 1911, (Exclusive of Full-",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0114_role_boundary_multiple_tables_cand_53_52_54_match_52_53.png,,
1911_census_volume_ii_part_vi_religions,115,114,boundary_multiple_tables,53 | 52 | 54,52 | 53,"Total Population of the Municipalities of Tasmania, at the Census of 3rd April, 1911, Classified according to Religion | Population of the Counties of the Northern Territory, at the Census of 3rd April, 1911, Classified according to Religion and Sex",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0115_role_boundary_multiple_tables_cand_53_52_54_match_52_53.png,,
1911_census_volume_ii_part_vi_religions,116,115,boundary_multiple_tables,54 | 53 | 55 | 56,54 | 55,"54. POPULATION OF THE DIVISIONS OF THE FEDERAL CAPITAL TERRITORY At the Census of 3rd April, 1911, Classified according to Religion and Sex | 55. NUMBER OF ABORIGINAL MALES RECORDED IN EACH STATE AND TERRITORY OF THE COMMONWEALTH At the Census of 3rd April, 1911, Classified according to Religion.",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0116_role_boundary_multiple_tables_cand_54_53_55_56_match_54_55.png,,
1911_census_volume_ii_part_vi_religions,119,118,non_table,57 | 56,,,,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vi_religions/p0119_role_non_table_cand_57_56_match_unknown.png,,
1911_census_volume_ii_part_vii_blindness_and_deaf_mutism,32,31,non_table,27 | 26,,,The provided page is blank.,output/diagnostics/flagged_pages/1911_census_volume_ii_part_vii_blindness_and_deaf_mutism/p0032_role_non_table_cand_27_26_match_unknown.png,,
1911_census_volume_ii_part_viii_non_european_races,7,6,boundary_multiple_tables,1 | 2 | 3,1 | 2,"Persons of Non-European Race enumerated in the Commonwealth of Australia, at the Census of 3rd April 1911. Summary by States | Persons of Non-European Race enumerated in the Commonwealth of Australia, at the Census of 3rd April, 1911. Summary by Races",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_viii_non_european_races/p0007_role_boundary_multiple_tables_cand_1_2_3_match_1_2.png,,
1911_census_volume_ii_part_viii_non_european_races,8,7,boundary_multiple_tables,3 | 2 | 4 | 5,3 | 4,"Males of each Non-European Race enumerated in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911 | Females of each Non-European Race enumerated in the several States and Territories of the Commonwealth of Australia, at the Census of 3rd April, 1911",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_viii_non_european_races/p0008_role_boundary_multiple_tables_cand_3_2_4_5_match_3_4.png,,
1911_census_volume_ii_part_viii_non_european_races,9,8,boundary_multiple_tables,5 | 4 | 6,4 | 5,4.—FEMALES OF EACH NON-EUROPEAN RACE ENUMERATED IN THE STATES—continued. | 5.—PERSONS OF EACH NON-EUROPEAN RACE ENUMERATED IN THE SEVERAL STATES AND TERRITORIES OF THE COMMONWEALTH OF AUSTRALIA,,output/diagnostics/flagged_pages/1911_census_volume_ii_part_viii_non_european_races/p0009_role_boundary_multiple_tables_cand_5_4_6_match_4_5.png,,
1911_census_volume_ii_part_viii_non_european_races,10,9,boundary_multiple_tables,6 | 5 | 7 | 8,6 | 7,"Commonwealth of Australia.—Males of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age | Commonwealth of Australia.—Females of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_viii_non_european_races/p0010_role_boundary_multiple_tables_cand_6_5_7_8_match_6_7.png,,
1911_census_volume_ii_part_viii_non_european_races,11,10,boundary_multiple_tables,6 | 5 | 7 | 8,6 | 7,"Commonwealth of Australia.—Males of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age | Commonwealth of Australia.—Females of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_viii_non_european_races/p0011_role_boundary_multiple_tables_cand_6_5_7_8_match_6_7.png,,
1911_census_volume_ii_part_viii_non_european_races,12,11,boundary_multiple_tables,8 | 7 | 9 | 10,8 | 9,"Commonwealth of Australia.—Persons of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age | Commonwealth of Australia.—Males of Non-European Race enumerated in the several States and Territories, at the Census of 3rd April, 1911, Classified according to Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_viii_non_european_races/p0012_role_boundary_multiple_tables_cand_8_7_9_10_match_8_9.png,,
1911_census_volume_ii_part_viii_non_european_races,13,12,boundary_multiple_tables,8 | 7 | 9 | 10,8 | 9,"Commonwealth of Australia.—Persons of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age | Commonwealth of Australia.—Males of Non-European Race enumerated in the several States and Territories, at the Census of 3rd April, 1911, Classified according to Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_viii_non_european_races/p0013_role_boundary_multiple_tables_cand_8_7_9_10_match_8_9.png,,
1911_census_volume_ii_part_viii_non_european_races,14,13,boundary_multiple_tables,10 | 9 | 11 | 12,10 | 11,"Commonwealth of Australia.—Females of Non-European Race enumerated in the several States and Territories, at the Census of 3rd April, 1911, Classified according to Age | Commonwealth of Australia.—Persons of Non-European Race enumerated in the several States and Territories, at the Census of 3rd April, 1911, Classified according to Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_viii_non_european_races/p0014_role_boundary_multiple_tables_cand_10_9_11_12_match_10_11.png,,
1911_census_volume_ii_part_viii_non_european_races,15,14,boundary_multiple_tables,10 | 9 | 11 | 12,10 | 11,"Commonwealth of Australia.—Females of Non-European Race enumerated in the several States and Territories, at the Census of 3rd April, 1911, Classified according to Age | Commonwealth of Australia.—Persons of Non-European Race enumerated in the several States and Territories, at the Census of 3rd April, 1911, Classified according to Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_viii_non_european_races/p0015_role_boundary_multiple_tables_cand_10_9_11_12_match_10_11.png,,
1911_census_volume_ii_part_viii_non_european_races,16,15,boundary_multiple_tables,12 | 11 | 13 | 14,12 | 13,"12.—NEW SOUTH WALES.—MALES OF Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age | 13.—NEW SOUTH WALES.—FEMALES OF Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_viii_non_european_races/p0016_role_boundary_multiple_tables_cand_12_11_13_14_match_12_13.png,,
1911_census_volume_ii_part_viii_non_european_races,18,17,boundary_multiple_tables,14 | 13 | 15 | 16,14 | 15,"14.—New South Wales.—Persons of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age | 15.—Victoria.—Males of Non-European Race enumerated, at the Census of 3rd April, 1911. Classified according to Race and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_viii_non_european_races/p0018_role_boundary_multiple_tables_cand_14_13_15_16_match_14_15.png,,
1911_census_volume_ii_part_viii_non_european_races,19,18,boundary_multiple_tables,14 | 13 | 15 | 16,14 | 15,"New South Wales.—Persons of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age | Victoria.—Males of Non-European Race enumerated, at the Census of 3rd April, 1911. Classified according to Race and Age","The page contains two distinct tables, one for New South Wales and one for Victoria, which correspond to the candidate tables 14 and 15 respectively.",output/diagnostics/flagged_pages/1911_census_volume_ii_part_viii_non_european_races/p0019_role_boundary_multiple_tables_cand_14_13_15_16_match_14_15.png,,
1911_census_volume_ii_part_viii_non_european_races,20,19,boundary_multiple_tables,16 | 15 | 17 | 18,16 | 17,"Victoria.—Females of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age | Victoria.—Persons of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_viii_non_european_races/p0020_role_boundary_multiple_tables_cand_16_15_17_18_match_16_17.png,,
1911_census_volume_ii_part_viii_non_european_races,22,21,boundary_multiple_tables,18 | 17 | 19 | 20,18 | 19,"Queensland.—Males of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age | Queensland.—Females of Non-European Race enumerated at the Census of 3rd April, 1911, Classified according to Race and Age",,output/diagnostics/flagged_pages/1911_census_volume_ii_part_viii_non_european_races/p0022_role_boundary_multiple_tables_cand_18_17_19_20_match_18_19.png,,
